text,label
Can you send the invoice today?,P3
"Meeting at 3pm tomorrow, confirm please",P2
Good morning! How are you?,P1
Payment of ₹5000 pending,P3
Please update the doc,P2
Thanks! Received,P1
"URGENT: Server is down, need immediate attention",P3
"Deadline is tomorrow, please confirm status",P3
"Payment failed, please retry ASAP",P3
Interview scheduled for 2pm today,P3
"Error in production, customers affected",P3
Client meeting moved to next week,P2
Can you review the proposal by Friday?,P2
Please send the updated presentation,P2
Need your feedback on the design,P2
Project status update required,P2
How was your weekend?,P1
Thanks for the help!,P1
See you tomorrow,P1
Good night everyone,P1
Happy birthday!,P1
Congratulations on the promotion,P1
The weather is nice today,P1
Did you watch the game?,P1
Coffee break in 10 minutes,P1
Emergency maintenance tonight at 11pm,P3
"System backup failed, check logs",P3
Customer complaint needs immediate response,P3
Budget approval needed by EOD,P3
"Security breach detected, all hands on deck",P3
Please submit your timesheet,P2
Team lunch tomorrow at noon,P2
New employee joining next Monday,P2
Office will be closed on Friday,P2
Please update your contact information,P2
Hope you're doing well,P1
Meeting notes from review attached,P2
New information about implementation attached,P2
Please review the attached presentation,P2
Enjoy your vacation!,P1
Congratulations on award,P1
REMINDER: Critical: Your payment of $6046 is needed immediately,P3
Take care,P1
Emergency meeting called for 9:00 - mandatory attendance,P3
Update: Delta is now delayed,P2
Meeting notes from standup attached,P2
TODAY: System error detected - fix required ASAP,P3
Cool,P1
ASAP: Emergency meeting called for 11:00 - mandatory attendance,P3
ASAP: Send the proposal before 16:00,P3
"Got it, thanks",P1
Emergency meeting called for 13:00 - mandatory attendance,P3
System error detected - fix required ASAP,P3
ASAP: Send the report before 16:00,P3
NOTE: Can you please update me on the Alpha status?,P2
IMMEDIATELY: Please pay the outstanding amount of $5038 immediately,P3
Could you could you send me the file when you get a chance?,P2
Payment failed! Please retry ASAP - $8748 pending,P3
IMMEDIATELY: ASAP: Send the report before 12:00,P3
Database backup failed - urgent intervention needed,P3
Please pay the outstanding amount of $2848 immediately,P3
NOW: Database backup failed - urgent intervention needed,P3
Could you schedule a meeting to discuss timeline?,P2
Please see the updated report,P2
URGENT: Payment of $6971 due today for invoice #INV-8750,P3
Emergency meeting called for 10:00 - mandatory attendance,P3
FYI: meeting has been rescheduled to Tuesday,P2
Would you mind follow up on our discussion about implementation,P2
Have a great day!,P1
Security breach detected - immediate action required,P3
ASAP: Invoice #INV-4895 overdue - need payment of $8770 today,P3
Invoice #INV-4151 overdue - need payment of $777 today,P3
Reminder: contract needs to be reviewed by today,P2
Can you please update me on the Alpha status?,P2
Hope the weather is nice there,P1
Reminder: presentation needs to be reviewed by today,P2
Client meeting in 30 minutes - where are you?,P3
New information about requirements attached,P2
Can you please update me on the Gamma status?,P2
IMMEDIATELY: URGENT: Meeting moved to 12:00 today - confirm attendance,P3
CRITICAL: Server down - need immediate attention,P3
URGENT: Meeting moved to 9:00 today - confirm attendance,P3
Please confirm your availability for meeting,P2
Meeting notes from planning attached,P2
Great,P1
Good luck with research,P1
IMMEDIATELY: URGENT: Meeting moved to 9:00 today - confirm attendance,P3
Understood,P1
ASAP: Send the presentation before 12:00,P3
Emergency meeting called for 11:00 - mandatory attendance,P3
Please confirm your availability for training,P2
"Ok, sounds good",P1
URGENT: Website crashed - customers complaining,P3
Can you help me with review?,P2
IMMEDIATELY: Critical: Your payment of $1196 is needed immediately,P3
TODAY: URGENT: Payment of $6971 due today for invoice #INV-8750,P3
Please review the attached contract,P2
Invoice #INV-4895 overdue - need payment of $8770 today,P3
Critical: Your payment of $4058 is needed immediately,P3
Could you send me the file when you get a chance?,P2
Thanks for the information,P1
Please pay the outstanding amount of $5554 immediately,P3
URGENT: Please pay the outstanding amount of $2848 immediately,P3
ASAP: ASAP: Send the file before 14:00,P3
NOW: Payment failed! Please retry ASAP - $8748 pending,P3
Talk to you soon,P1
IMMEDIATELY: Security breach detected - immediate action required,P3
IMMEDIATELY: Client meeting in 30 minutes - where are you?,P3
Please see the updated contract,P2
URGENT: Payment of $8328 due today for invoice #INV-9229,P3
Could you send me the report when you get a chance?,P2
Payment failed! Please retry ASAP - $5474 pending,P3
Reminder: presentation needs to be reviewed by tomorrow,P2
REMINDER: Emergency meeting called for 9:00 - mandatory attendance,P3
TODAY: Critical: Your payment of $5814 is needed immediately,P3
Can you help me with analysis?,P2
Reminder: presentation needs to be reviewed by Friday,P2
ASAP: System error detected - fix required ASAP,P3
Update: Delta is now pending,P2
How was the presentation yesterday?,P1
Could you schedule a meeting to discuss implementation?,P2
Ok,P1
IMMEDIATELY: Emergency meeting called for 10:00 - mandatory attendance,P3
Sure,P1
Could you please confirm your availability for meeting,P2
"No problem, anytime",P1
Update: Delta is now approved,P2
Please reminder: file needs to be reviewed by this week,P2
Please review the attached report,P2
Congratulations on milestone,P1
Critical: Your payment of $6046 is needed immediately,P3
Please follow up on our discussion about implementation,P2
FYI: conference has been rescheduled to Monday,P2
Could you reminder: contract needs to be reviewed by friday,P2
Received,P1
URGENT: System error detected - fix required ASAP,P3
Emergency meeting called for 17:00 - mandatory attendance,P3
New information about timeline attached,P2
ASAP: Critical: Your payment of $4058 is needed immediately,P3
IMMEDIATELY: Website crashed - customers complaining,P3
New information about strategy attached,P2
REMINDER: Client meeting in 30 minutes - where are you?,P3
NOTE: Could you send me the report when you get a chance?,P2
Awesome,P1
See you later,P1
